Title,Director,Popularity
"Sea of Grass, The","Kazan, Elia",75.0
Guess Who's Coming to Dinner,"Kramer, Stanley",50.0
Desk Set,"Lang, Walter",51.0
Rooster Cogburn,"Miller, Stuart",76.0
On Golden Pond,"Rydell, Mark",23.0
Adam's Rib,,62.0
Boom Town,,73.0
Dragon Seed,,34.0
Little Women,,22.0
"Philadelphia Story, The",,25.0
Without Love,,66.0
Woman of the Year,,12.0
Juice,"Dickerson, Ernest R.",31.0
Hoosiers,"Anspaugh, David",2.0
Tin Men,"Levinson, Barry",50.0
"Last Temptation of Christ, The","Scorsese, Martin",32.0
Paris Trout,,53.0
Souvenir,"Reeve, Geoffrey",42.0
A Man for All Seasons,"Zinnemann, Fred",20.0
Knights & Emeralds,"Emes, Ian",
Masque of the Red Death,"Brand, Larry",9.0
"Adventures of Smilin' Jack, The","Taylor, Ray",77.0
Adventures in Dinosaur City,"Thompson, Brett",19.0
"Allnighter, The","Hoffs, Tamar Simon",71.0
Caddyshack,"Ramis, Harold",70.0
Tom Sawyer,"Taylor, Don",11.0
"Rita, Sue & Bob Too","Clarke, Alan",5.0
Hawk of Powder River,"Taylor, Ray",61.0
Tempest,"Taylor, Sam",33.0
Running Mates,"Neff, Thomas L.",63.0
Prettykill,"Kaczender, George",71.0
Judge Priest,"Ford, John",9.0
Harvey,"Koster, Henry",42.0
If Looks Could Kill,"Wilmington, Michael",10.0
Raising Arizona,"Coen, Joel",23.0
Once Around,"Hallström, Lasse",68.0
Loulou,"Pialat, Maurice",65.0
"World According to Garp, The","Hill, George Roy",59.0
Virus,"Fukasaku, Kinji",62.0
Northwest Passage,"Vidor, King",51.0
Gardens of Stone,"Coppola, Francis Ford",27.0
"Enemies, a Love Story","Mazursky, Paul",5.0
"Addams Family, The","Sonnenfeld, B.",8.0
Freaks,"Browning, Tod",61.0
Necessary Roughness,"Dragoti, Stan",60.0
A Show of Force,"Barreto, Bruno",1.0
"Competition, The","Oliansky, Joel",45.0
Crossing Delancey,"Silver, Joan Micklin",6.0
"State of Things, The","Wenders, Wim",73.0
Business As Usual,"Barrett, Lezli-An",17.0
A Touch of Class,"Frank, Melvin",79.0
Women in Love.,"Russell, Ken",18.0
Salome's Last Dance,"Russell, Ken",76.0
Casino,"Chaffey, Don",5.0
Smiles of a Summer Night,"Bergman, Ingmar",58.0
New Year's Day,"Jaglom, Henry",88.0
Mephisto,"Szabó, István",80.0
Easy Virtue,"Hitchcock, Alfred",45.0
Swing It Sailor!,,6.0
Strictly Business,"Hooks, Kevin",3.0
Blame It on Rio,"Donen, Stanley",10.0
Straight to Hell,"Cox, Alex",47.0
A View to a Kill,,44.0
American Anthem,"Magnoli, Albert",74.0
Bedtime Story,"Levy, Ralph",7.0
"Courtship of Eddie's Father, The",,43.0
"Night Train to Katmandu, THe","Wiemer, Robert",43.0
Port of Call,"Bergman, Ingmar",29.0
Paper Moon,"Bogdanovich, Peter",3.0
Yellowbeard,"Damski, Mel",34.0
Adventures of Sherlock Holmes' Smarter,"Wilder, Gene",42.0
Flashback,"Amurri, Franco",19.0
"World's Greatest Lover, The","Wilder, Gene",42.0
Killer's Kiss,"Kubrick, Stanley",66.0
"Deceivers, The","Meyer, Nicholas",14.0
Breathless,"McBride, Jim",51.0
Born on the Fourth of July,"Stone, Oliver",8.0
Awakenings,"Marshall, Penny",8.0
Annie Hall,"Allen, Woody",68.0
Manhattan,"Allen, Woody",82.0
Reds,"Beatty, Warren",76.0
Crimes of the Heart,"Beresford, Bruce",84.0
Looking for Mr. Goodbar,"Brooks, Richard",54.0
"Godfather, The","Coppola, Francis Ford",8.0
"Godfather, Pt 2., The","Coppola, Francis Ford",8.0
"I Will, I Will...For Now","Panama, Norman",6.0
"Play It Again, Sam","Ross, Herbert",81.0
Love & Death,,84.0
Sleeper,,59.0
Fellini Satyricon,"Fellini, Federico",88.0
"Formula, The","Avildsen, John G.",82.0
Black Sunday,"Frankenheimer, John",76.0
Bobby Deerfield,"Pollack, Sydney",36.0
Last of the Red Hot Lovers,"Saks, Gene",40.0
Mogambo,"Ford, John",71.0
To Catch a Thief,"Hitchcock, Alfred",69.0
Rear Window,"Hitchcock, Alfred",25.0
Woman Who Came Back,"Colmes, Walter",26.0
Stanley & Livingstone,"King, Henry",11.0
"Bad Seed, The","LeRoy, Mervyn",69.0
Lethal Weapon 2,"Donner, Richard",69.0
Blame It on the Bellboy,"Herman, Mark",69.0
"Drop Kick, The","Webb, Millard",
"Superman, The Movie","Donner, Richard",87.0
Superman IV: The Quest for Peace,"Furie, Sidney J.",77.0
Quackser Fortune Has a Cousin in the Bronx,"Waris, Hussein",49.0
Dead Calm,"Noyce, Phillip",1.0
Days of Thunder,"Scott, Tony",3.0
My Life As a Dog,"Hallström, Lasse",21.0
"Moon in the Gutter, The","Beineix, Jean-Jacques",29.0
"Paris, Texas","Wenders, Wim",27.0
Unfaithfully Yours,"Zieff, Howard",73.0
Bullseye!,"Winner, Michael",8.0
Erik the Viking,"Jones, Terry",25.0
Dragonard,"Kikoine, Gerard",71.0
Hard Choices,"King, Rick",41.0
"Rain People, The","Coppola, Francis Ford",78.0
A Year of the Quiet Sun,"Zanussi, Krzystoff",78.0
"Desert Trail, The","Collins, Lewis D.",50.0
Almost an Angel,"Cornell, John",14.0
Crocodile Dundee,"Faiman, Peter",66.0
"American Friend, The","Wenders, Wim",35.0
See You in the Morning,"Pakula, Alan J.",53.0
"Arrogant, The","Blot, Philippe",62.0
Dracula's Widow,"Coppola, Christopher",55.0
Ninja Masters of Death,"Lambert, Bruce",15.0
Mystery Train,"Jarmusch, Jim",23.0
Go Tell the Spartans,"Post, Ted",67.0
True Stories,"Byrne, David",79.0
Ugetsu Monogatari,"Mizoguchi, Kenji",82.0
Rebel Rousers,"Cohen, Martin B.",44.0
Plain Clothes,"Coolidge, Martha",4.0
"Whose Life Is It, Anyway?","Badham, John",62.0
Running on Empty,"Lumet, Sidney",2.0
Funny about Love,"Nimoy, Leonard",60.0
"A Chorus Line, The Movie","Attenborough, Richard",71.0
Stewardess School,"Blancato, Ken",28.0
"Big Town, The","Bolt, Ben",11.0
Rumble Fish,"Coppola, Francis Ford",4.0
"Outsiders, The","Coppola, Francis Ford",56.0
Priceless Beauty,"Finch, Charles",7.0
Streets of Fire,"Hill, Walter",65.0
Men Don't Leave,"Brickman, Paul",66.0
Everybody's All American,"Hackford, Taylor",62.0
Cape Fear,"Scorsese, Martin",7.0
"Postman Always Rings Twice, The",,24.0
Crashing Thru,"Taylor, Ray",19.0
Get Out Your Handkerchiefs,"Blier, Bertrand",78.0
"Boy Friend, THe","Russell, Ken",8.0
Hard To Kill,"Malmuth, Bruce",49.0
Psycho,"Hitchcock, Alfred",56.0
Jet Pilot,"Sternberg, Josef von",43.0
Under Cover,"Stockwell, John",36.0
A Streetcar Named Desire,"Kazan, Elia",75.0
"Golden Child, The","Ritchie, Michael",86.0
"Statue, The","Amateau, Rod",80.0
Christopher Columbus,"Lattuada, Alberto",69.0
In Country,"Jewison, Norman",76.0
"Wild Geese, The","McLaglen, Andrew V.",21.0
"Second Coming of Suzanne., The","Barry, Michael",21.0
Bronco Billy,"Eastwood, Clint",57.0
"Gauntlet, The","Eastwood, Clint",18.0
Ratboy,"Locke, Sondra",1.0
Lady Vanishes,"Hitchcock, Alfred",27.0
"Kitchen Toto, THe","Hook, Harry",41.0
Carlton-Browne of the F.O.,"Boulting, Roy",63.0
Racketeer,"Higgin, Howard",2.0
Mr. & Mrs. Smith,"Hitchcock, Alfred",3.0
Alrededor de Medianoche,"Rayfield, David",47.0
Losin' It,"Hanson, Curtis",4.0
Into the Homeland,"Glatter, Lesli Linka",34.0
Boxing Babes,"Dell, Stewart",9.0
Shock 'em Dead,"Freed, Mark",31.0
Heller in Pink Tights,"Cukor, George",52.0
Two Women,"De Sica, Vittorio",83.0
"Gold of Naples, The","De Sica, Vittorio",40.0
"Yesterday, Today & Tomorrow","De Sica, Vittorio",73.0
Legend of the Lost,"Hathaway, Henry",84.0
Brass Target,"Hough, John",53.0
"Fall of the Roman Empire, The","Mann, Anthony",62.0
El Cid,"Mann, Anthony",10.0
Desire under the Elms,"Mann, Delbert",13.0
Two Nights with Cleo,"Mattoli, Mario",54.0
"Black Orchid, The","Ritt, Martin",54.0
Angela,"Sagal, Boris",80.0
A Special Day,"Scola, Ettore",80.0
Blood Feud,"Wertmuller, Lina",52.0
"Sophia Loren, Her Own Story",,49.0
Running Away,,2.0
Man of La Mancha,,55.0
Operation Crossbow,,1.0
Courage,,56.0
RAD,"Needham, Hal",75.0
Secret Admirer,,55.0
Cocaine Cowboys,"Lommel, Ulli",17.0
Test Pilot,,13.0
"Ape Man, The","Beaudine, William",83.0
"Mission, The","Joffe, Roland",20.0
Curly Sue,"Hughes, John",2.0
Lolita,"Kubrick, Stanley",80.0
"Sex, Lies, and Videotape","Soderbergh, Steven",70.0
Green Card,"Weir, Peter",25.0
Gator Bait II,"Sebastian, Beverly",73.0
Being There,"Ashby, Hal",31.0
Terms of Endearment,"Brooks, James L.",32.0
Woman Times Seven,"De Sica, Vittorio",36.0
"Bliss of Mrs. Blossom, The","McGrath, Joseph",86.0
Postcards from the Edge,"Nichols, Mike",63.0
Two Mules for Sister Sara,"Siegel, Don",36.0
Dragonfight,,71.0
Back Door to Heaven,"Howard, William K.",83.0
"Ciao Italia, Madonna Live from Italy","De Winter, Harry",74.0
"Madonna, Truth or Dare","Keshishian, Alek",54.0
A Certain Sacrifice,"Lewicki, Steven Jon",24.0
"National Enquirer, The Untold Story",,65.0
"Immaculate Collection, The",,32.0
"Madonna Live, The Virgin Tour",,75.0
"Madonna, Justify My Love",,77.0
"Madonna, Like a Virgin",,63.0
Hot to Trot,"Dinner, Michael",78.0
Fire with Fire,"Gibbins, Duncan",9.0
Hot Spot,"Hopper, Dennis",70.0
Amarcord,"Fellini, Federico",50.0
Casablanca Express,"Martino, Sergio",33.0
Out of the Blue,"Hopper, Dennis",4.0
Sands of Iwo Jima,"Dwan, Allan",72.0
"Hand, The","Stone, Oliver",44.0
Deep Cover,"Loncraine, Richard",15.0
Il Bidone,"Fellini, Federico",70.0
El Guerrero Solitario,"Eastwood, Clint",77.0
Heartbreak Ridge,"Eastwood, Clint",61.0
"Goodbye Girl, The","Ross, Herbert",6.0
Audrey Rose,,62.0
Polyester,,68.0
Robin Hood: Prince of Thieves,"Costner, Kevin",8.0
White Sands,"Donaldson, Roger",38.0
"Color of Money, The","Scorsese, Martin",6.0
Children of a Lesser God,"Haines, Randa",20.0
Matador,"Almodóvar, Pedro",34.0
Women on the Verge of a Nervous Breakdown,"Almodóvar, Pedro",65.0
Pepi Luci Bom,"Almodóvar, Pedro",66.0
"Forgotten, The","Keach, James",69.0
"Flame & the Arrow, The",,0.0
After the Shock,"Sherman, Gary",28.0
Modern Love,,18.0
Riff Raff,"Loach, Ken",71.0
"Glory Stompers, The","Lanza, Anthony M.",27.0
Dances with Wolves,"Costner, Kevin",8.0
Matewan,"Sayles, John",81.0
Mississippi Burning,"Parker, Alan",41.0
"Eiger Sanction, The","Eastwood, Clint",69.0
Unsettled Land,"Barbash, Uri",75.0
Cat Chaser,"Ferrera, Abel",6.0
"Accused, The","Kaplan, Jonathan",71.0
Winter People,"Kotcheff, Ted",30.0
"Reuben, Reuben","Miller, Robert Ellis",2.0
Made in Heaven,"Rudolph, Alan",57.0
Top Gun,"Scott, Tony",8.0
Witness,"Weir, Peter",59.0
"House on Carroll Street, The",,6.0
Racing with the Moon,"Benjamin, Richard",50.0
Lovesick,"Brickman, Marshall",51.0
She's Having a Baby,,18.0
"Greatest Story Ever Told, The","Stevens, George",26.0
Hawks,"Miller, Robert Ellis",11.0
So Fine,"Bergman, Andrew",17.0
Paths of Glory,"Kubrick, Stanley",47.0
Tom Jones,"Dassin, Jules",39.0
"Sunshine Boys, The","Ross, Herbert",35.0
Caddyshack 2,"Arkush, Allan",34.0
Internal Affairs,"Figgis, Mike",3.0
JFK,"Stone, Oliver",78.0
New Jack City,"Van Peebles, Mario",80.0
Scenes from a Mall,,8.0
Hope & Glory,"Boorman, John",3.0
Ryan's Daughter,"Lean, David",81.0
"Man Who Loved Cat Dancing, The","Sarafian, Richard C.",40.0
"Man Who Shot Liberty Valance, The","Ford, John",85.0
Dead-Bang,"Frankenheimer, John",9.0
Big Top Pee-wee,"Kleiser, Randal",17.0
"Time Machine, The","Pal, George",88.0
Cabaret,"Fosse, Bob",59.0
Arthur,"Gordon, Steve",79.0
A Matter of Time,"Minnelli, Vincente",70.0
"New York, New York","Scorsese, Martin",8.0
"Nightmare on Elm Street, Pt. 5, The Dream Child","Hopkins, Stephen",41.0
"Fiendish Plot of Dr. Fu Manchu, The","Haggard, Piers",29.0
Four American Composers,"Greenaway, Peter",3.0
"Asphalt Jungle, The","Huston, John",77.0
Ladies of the Chorus,"Karlson, Phil",60.0
How to Marry a Millionaire,"Negulesco, Jean",65.0
Hollywood Out-Takes & Rare Footage,,27.0
Nothing But Trouble,"Aykroyd, Dan",25.0
Wisdom,"Estevez, Emilio",25.0
One Crazy Summer,"Holland, Savage Steve",61.0
We're No Angels,"Jordan, Neil",51.0
No Small Affair,"Schatzberg, Jerry",10.0
Ghost,"Zucker, Jerry",6.0
About Last Night,"Zwick, Edward",66.0
Six Weeks,"Bill, Tony",73.0
Return of October,"Lewis, Joseph H.",35.0
"Come Back, Little Sheba","Mann, Daniel",50.0
Going Places,"Blier, Bertrand",66.0
Monte Walsh,"Fraker, William A.",29.0
Mr. Arkadin,"Welles, Orson",80.0
White of the Eye,"Cammell, Donald",48.0
"Producers, The","Brooks, Mel",33.0
"Front, The","Ritt, Martin",70.0
House of the Rising Sun,"Gold, Greg",45.0
In a Shallow Grave,"Bowser, Kenneth",72.0
Mc Q,"Sturges, John",73.0
Lady from Louisiana,"Vorhaus, Bernard",38.0
Wait Until Spring Bandini,"Deruddere, Dominique",29.0
"Long Voyage Home, The","Ford, John",88.0
"Trouble with Harry, The","Hitchcock, Alfred",28.0
Encounters,"Marder, Bruce",44.0
Hud,"Ritt, Martin",2.0
Operation Pacific,,5.0
Surf Nazis Must Die,"George, Peter",50.0
Teahouse of the August Moon,"Mann, Daniel",11.0
Back in the U.S.S.R.,,61.0
"Man Who Haunted Himself, The","Dearden, Basil",75.0
Prisoner of Honor.,"Russell, Ken",58.0
Control,,27.0
Desert Rider,"Bradbury, Robert N.",
Wholly Moses!,"Weis, Gary",25.0
Star Trek VI: The Undiscovered Country,"Meyer, Nicholas",11.0
Star Trek V: The Final Frontier,"Shatner, William ",87.0
Circuitry Man,"Lovy, Steven",78.0
Cobra,"Cosmatos, George P.",57.0
Beverly Hills Cop II,"Scott, Tony",37.0
Red Sonja,,40.0
To Joy,"Bergman, Ingmar",65.0
Macbeth,,45.0
Vertigo,"Hitchcock, Alfred",10.0
Young Love: Lemon Popsicle Seven,"Bennett, Walter",47.0
Crack-Up,"Reis, Irving",25.0
Bury Me Not on the Lone Prairie,"Taylor, Ray",85.0
Law & Order,"Taylor, Ray",87.0
Man from Montana,"Taylor, Ray",85.0
"Long Gray Line, The","Ford, John",26.0
Rio Grande,"Ford, John",64.0
"Wings of Eagles, The","Ford, John",29.0
Jamaica Inn,"Hitchcock, Alfred",75.0
Big Jake,"Sherman, George",68.0
"Quiet Man, The",,74.0
After the Rehearsal,"Bergman, Ingmar",0.0
Big Jim McLain,"Ludwig, Edward",14.0
Smith!,"O'Herlihy, Michael",62.0
"Wild One, The","Benedek, Laslo",26.0
"Manxman, The","Hitchcock, Alfred",65.0
International Velvet,"Forbes, Bryan",40.0
Scanners,"Cronenberg, David",32.0
Trick or Treat,"Smith, Charles Martin",47.0
48 Hrs.,"Hill, Walter",67.0
"Trip to Bountiful, The","Masterson, Peter",62.0
Mister Roberts,"Ford, John",8.0
Z,Costa-Gavras,72.0
Maurice,"Ivory, James",45.0
Hamlet,"Richardson, Tony",39.0
La Femme Nikita,"Besson, Luc",6.0
Honeymoon in Vegas,"Bergman, Andrew",53.0
Going for the Gold,"Taylor, Dan",10.0
Shout at the Devil,"Hunt, Peter R.",0.0
A Smoky Mountain Christmas,"Winkler, Henry",23.0
Getting Physical,"Stern, Steven Hilliard",75.0
Torn Apart,"Fisher, Jack",8.0
From the Hip,"Clark, Bob",36.0
"Ratings Game, The","DeVito, Danny",21.0
Class Act,,88.0
Water,"Clement, Dick",47.0
Silent Movie,"Brooks, Mel",27.0
Pink Cadillac,"Eastwood, Clint",12.0
"Jerk, The","Reiner, Carl",22.0
Wild Times,"Compton, Richard",75.0
Sweet Liberty,"Alda, Alan",12.0
Grease II,"Birch, Patricia",64.0
Married to the Mob,"Demme, Jonathan",8.0
Ladyhawke,"Donner, Richard",68.0
"Fabulous Baker Boys, The","Kloves, Steve",66.0
Into the Night,"Landis, John",62.0
"Russia House, The","Schepisi, Fred",3.0
Tequila Sunrise,"Towne, Robert",50.0
B. A. D. Cats,,87.0
"Last Movie, The","Hopper, Dennis",22.0
Dillinger,"Milius, John",83.0
Little Dorrit,"Edzard, Christine",12.0
My Best Girl,"Taylor, Sam",31.0
Seizure,"Stone, Oliver",59.0
A Chorus of Disapproval,"Winner, Michael",0.0
Rome Adventure,"Daves, Delmer",39.0
Drowning by Numbers,"Greenaway, Peter",28.0
Born to Ride,"Baker, Graham",59.0
Her Alibi,"Beresford, Bruce",80.0
Glitz,,9.0
Dangerous Pursuit,"Stern, Sandor",88.0
Experiment in Terror,"Edwards, Blake",77.0
"Hideaways, The","Cook, Fielder",42.0
What's New Pussycat,"Donner, Clive",83.0
What's New Pussycat?,"Donner, Clive",46.0
Packin' It In,"Taylor, Jud",8.0
"Naked Gun: From the Files of Police Squad!, THe","Zucker, David",9.0
In Too Deep,"Tatoulis, Colin South, John",50.0
Twins,"Reitman, Ivan",23.0
"Experts, The","Thomas, Dave",67.0
Naked Lie,"Colla, Richard A.",7.0
Mistress,"Tuchner, Michael",36.0
Pleasure Palace,,45.0
Adam at 6 A.M.,"Scheerer, Robert",3.0
Web of Deceit,"Stern, Sandor",6.0
New York Stories,"Coppola, Francis Ford",6.0
"Dreams Lost, Dreams Found","Patterson, Willi",66.0
Au Revoir les Enfants,"Malle, Louis",35.0
Quo Vadis,"Rossi, Franco",6.0
"Fighting Kentuckian, The","Waggner, George",74.0
Zardoz,"Boorman, John",6.0
Police Academy 6: City under Siege,"Bonerz, Peter",29.0
Police Academy 5: Assignment Miami Beach,"Myerson, Alan",59.0
Police Academy 3: Back in Training,"Paris, Jerry",6.0
"America's Music, Blues","Walton, Kip",54.0
Julia,"Zinnemann, Fred",75.0
"Devils, The","Russell, Ken",69.0
Ransom,"Segal, Alex",73.0
Cadillac Man,"Donaldson, Roger",28.0
"Best of Times, The","Spottiswoode, Roger",88.0
Death of a Salesman,"Schlöndorff, Volker",13.0
It Started with a Kiss,,80.0
"Money, The",,29.0
Empire of the Sun,"Spielberg, Steven",6.0
"Comfort of Strangers, The","Schrader, Paul",5.0
On Her Majesty's Secret Service,"Hunt, Peter R.",66.0
Pretty in Pink,"Deutch, Howard",75.0
PK. & the Kid.,,49.0
"Lone Star Trail, The","Taylor, Ray",27.0
Summer,"Rohmer, Eric",11.0
"Planes, Trains & Automobiles","Hughes, John",73.0
Pretty Woman,"Marshall, Garry",43.0
Flatliners,"Schumacher, Joel",19.0
Hook,"Spielberg, Steven",4.0
Riders of Pasco Basin,"Taylor, Ray",17.0
"Gotta Dance, Gotta Sing",,20.0
Desperate Hours,"Cimino, Michael",58.0
Gung Ho,"Howard, Ron",59.0
Shooting Elizabeth,"Taylor, Baz",5.0
Strangers on a Train,"Hitchcock, Alfred",17.0
"Sacketts, The","Totten, Robert",86.0
To Die Standing,"Morneau, Louis",53.0
Rodeo Girl,"Cooper, Jackie",80.0
Butch Cassidy & the Sundance Kid,"Hill, George Roy",29.0
Hellfighters,"McLaglen, Andrew V.",22.0
"Final Countdown, The","Taylor, Don",35.0
Blue Velvet,"Lynch, David",6.0
Cousins,,28.0
Black & White in Color,"Annaud, Jean-Jacques",24.0
Another Woman,"Allen, Woody",7.0
Night on Earth,"Jarmusch, Jim",24.0
Permanent Record,"Silver, Marisa",42.0
"Fisher King, The","Gilliam, Terry",8.0
Another You,"Phillips, Maurice",75.0
"Young Lions, The","Dmytryk, Edward",10.0
Cheerleader Camp,"Quinn, John",79.0
Trapper County War,,5.0
Angel & the Badman,"Grant, James Edward",84.0
Impulse,"Locke, Sondra",23.0
Track Twenty-Nine,"Roeg, Nicolas",48.0
Freejack,"Richardson, Tony",26.0
"John Wayne Matinee Double Feature, No. 1",,30.0
"Smallest Show on Earth, The","Dearden, Basil",24.0
Innerspace,"Dante, Joe",41.0
"Presidio, The","Hyams, Peter",4.0
Joe Versus the Volcano,"Patrick, John",17.0
"Doors, The","Stone, Oliver",60.0
"Welcome Home, Roxy Carmichael","Abrahams, Jim",41.0
Cancel My Reservation,"Bogart, Paul",60.0
North by Northwest,"Hitchcock, Alfred",20.0
"Russians Are Coming, the Russians Are, The","Jewison, Norman",79.0
Exodus,"Preminger, Otto",13.0
"Ballad of Narayama, The","Imamura, Shohei",88.0
Out of the Darkness,"Taylor, Jud",86.0
"Garden of the Finzi-Continis, The","De Sica, Vittorio",42.0
Steppenwolf,"Haines, Fred",20.0
"Mackintosh Man, The","Huston, John",65.0
Partner,"Bertolucci, Bernardo",26.0
"Conformist, The","Bertolucci, Bernardo",72.0
Dirty Harry,"Siegel, Don",72.0
Ferris Bueller's Day Off,"Hughes, John",12.0
Legend,"Scott, Ridley",42.0
"Buddy System, The","Jordan, Glenn",48.0
A Dry White Season,"Palcy, Euzhan",71.0
"Rocky Horror Picture Show, The","Sharman, Jim",59.0
War & Peace,"Bondarchuk, Sergei",80.0
Defense of the Realm,,79.0
Basil The Rat,,9.0
"Fawlty Towers, Gourmet Night, Waldorf Salad & The Kipper & the Corpse",,46.0
Going Under,"Travis, Mark W.",30.0
U S. Sub Standard.,,27.0
Hells Angels on Wheels,,1.0
"Passenger, The","Antonioni, Michelangelo",32.0
Last Tango in Paris,"Bertolucci, Bernardo",28.0
Indigo Autumn & Lilac Dream,"Gillard, Stuart",72.0
"Kriemhild's Revenge, The Nibelungenlied","Lang, Fritz",74.0
Johnny Tiger,"Wendkos, Paul",69.0
Head Office,"Finkleman, Ken",88.0
Live & Let Die,,62.0
Le Charme Discret de la Bourgeoisie,"Bunuel, Luis",4.0
Blue City,"Manning, Michelle",38.0
Bad Boys,"Rosenthal, Rick",7.0
"Whoopee Boys, The","Byrum, John",54.0
"Last Picture Show, The","Bogdanovich, Peter",62.0
"Diamond Trap, The","Taylor, Don",58.0
Endless Love,"Zeffirelli, Franco",20.0
Rocky,"Avildsen, John G.",78.0
Cocktail,"Donaldson, Roger",13.0
Sabotage,"Hitchcock, Alfred",74.0
Madame Rosa,"Mizrahi, Moshe",11.0
Fozzie's Muppet Scrapbook,,86.0
Desiree,"Koster, Henry",22.0
Spartacus,"Kubrick, Stanley",67.0
Guys & Dolls,"Mankiewicz, Joseph L.",70.0
Until They Sail,"Wise, Robert",77.0
Coming to America,"Landis, John",11.0
Lilies of the Field,"Poitier, Sidney",36.0
River's Edge,"Hunter, Tim",3.0
Ruthless People,"Abrahams, Jim",84.0
"Secret of My Success, The","Ross, Herbert",5.0
"Shop on Main Street, The","Kadar, Jan",37.0
Funny Farm,"Hill, George Roy",30.0
"Lonely Passion of Judith Hearne, The","Clayton, Jack",24.0
California Suite,"Ross, Herbert",11.0
Maximum Overdrive,"King, Stephen",40.0
Pale Rider,"Eastwood, Clint",45.0
"Kissing Place, The","Wharmby, Tony",41.0
French Lesson,"Gilbert, Brian",29.0
Roller Blade,"Jackson, Donald G",31.0
A Shot in the Dark,"Edwards, Blake",51.0
"Treasure Seekers, The",,2.0
Missing,Costa-Gavras,30.0
Picasso Trigger,"Sidaris, Andy",20.0
Hard Ticket to Hawaii,"Sidaris, Andy",36.0
Diamonds are Forever,"Hamilton, Guy",8.0
Baby Face,"Green, Alfred E.",66.0
"Violent Men, The","Mate, Rudolph",25.0
Cocoon,"Howard, Ron",45.0
Clockwise,"Morahan, Christopher",10.0
Romantic Comedy,,8.0
Outland,"Hyams, Peter",7.0
Hang 'em High,"Post, Ted",67.0
Basic Instinct,"Verhoeven, Paul",41.0
Total Recall,"Verhoeven, Paul",8.0
Stakeout,"Badham, John",13.0
